Fase;Kelas;Semester;Elemen/Bab;Capaian Pembelajaran (CP Panjang);Tujuan Pembelajaran (TP);8 Dimensi Profil Lulusan
Fase C;6;Genap;Akidah / Bab 7;Peserta didik dapat mengenal Allah melalui asmaulhusna lanjutan, memahami keniscayaan peristiwa hari akhir, serta qada dan qadar.;Peserta didik mampu mengidentifikasi syarat-syarat taubat yang sah dalam ajaran Islam (Taubatan Nasuha).;Penalaran Kritis, Kemandirian
Fase C;6;Genap;Akidah / Bab 7;Peserta didik dapat mengenal Allah melalui asmaulhusna lanjutan, memahami keniscayaan peristiwa hari akhir, serta qada dan qadar.;Peserta didik mampu membiasakan membaca kalimat istighfar setiap kali menyadari kekhilafan atau perbuatan dosa.;Keimanan dan Ketakwaan terhadap Tuhan YME, Kesehatan mental
Fase C;6;Genap;Akhlak / Bab 8;Peserta didik menunjukkan perilaku sabar, ikhlas, cinta tanah air, menghindari perilaku tercela, dan mempraktikkan kepedulian sosial di masyarakat.;Peserta didik mampu menjelaskan makna empati dan simpati terhadap penderitaan sesama.;Penalaran Kritis, Kewargaan
Fase C;6;Genap;Akhlak / Bab 8;Peserta didik menunjukkan perilaku sabar, ikhlas, cinta tanah air, menghindari perilaku tercela, dan mempraktikkan kepedulian sosial di masyarakat.;Peserta didik mampu menganalisis contoh-contoh tindakan kepedulian sosial di tengah masyarakat sekitar.;Penalaran Kritis, Kolaborasi
Fase C;6;Genap;Akhlak / Bab 8;Peserta didik menunjukkan perilaku sabar, ikhlas, cinta tanah air, menghindari perilaku tercela, dan mempraktikkan kepedulian sosial di masyarakat.;Peserta didik mampu memprakarsai kegiatan penggalangan dana atau bantuan sederhana untuk teman/korban bencana alam.;Kewargaan, Kreativitas
Fase C;6;Genap;Fikih / Bab 9;Peserta didik mampu memahami zakat, infak, sedekah dan hadiah, ketentuan salat jamak qasar, serta makanan minuman yang halal dan haram.;Peserta didik mampu menjelaskan pengertian infak, sedekah, dan hadiah dalam Islam.;Keimanan dan Ketakwaan terhadap Tuhan YME, Penalaran Kritis
Fase C;6;Genap;Fikih / Bab 9;Peserta didik mampu memahami zakat, infak, sedekah dan hadiah, ketentuan salat jamak qasar, serta makanan minuman yang halal dan haram.;Peserta didik mampu membedakan karakteristik hukum dan motivasi antara infak, sedekah, dan hadiah.;Penalaran Kritis, Kemandirian
Fase C;6;Genap;Fikih / Bab 9;Peserta didik mampu memahami zakat, infak, sedekah dan hadiah, ketentuan salat jamak qasar, serta makanan minuman yang halal dan haram.;Peserta didik mampu menyisihkan sebagian uang saku secara rutin untuk kegiatan sedekah dan infak kelas.;Kewargaan, Kolaborasi
Fase C;6;Genap;Sejarah Peradaban Islam / Bab 10;Peserta didik menghayati ibrah dari kisah Nabi Muhammad saw. pada Fathu Makkah, keteladanan Khulafaur Rasyidin, dan sejarah perkembangan Islam di Nusantara.;Peserta didik mampu mendeskripsikan sejarah awal masuknya Islam ke wilayah Nusantara melalui para pedagang.;Komunikasi, Penalaran Kritis
Fase C;6;Genap;Sejarah Peradaban Islam / Bab 10;Peserta didik menghayati ibrah dari kisah Nabi Muhammad saw. pada Fathu Makkah, keteladanan Khulafaur Rasyidin, dan sejarah perkembangan Islam di Nusantara.;Peserta didik mampu menganalisis faktor-faktor yang menyebabkan Islam mudah diterima dan berkembang pesat secara damai di Indonesia.;Penalaran Kritis, Kewargaan
Fase C;6;Genap;Sejarah Peradaban Islam / Bab 10;Peserta didik menghayati ibrah dari kisah Nabi Muhammad saw. pada Fathu Makkah, keteladanan Khulafaur Rasyidin, dan sejarah perkembangan Islam di Nusantara.;Peserta didik mampu mengambil pelajaran dari nilai keramahan dan kedamaian penyebaran Islam untuk dipraktikkan saat ini.;Kewargaan, Kolaborasi
